Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.9829268292683,80.9365853658537,81.1365853658537,81.490243902439,81.190243902439,81.6414634146342,81.6439024390244,81.6926829268293,81.8951219512195,81.1926829268293,81.190243902439,81.2951219512195,81.5414634146342,..,..
Austria,AUT,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,4486.48958464996,4767.40023926541,4961.15580315043,5105.97560753262,5247.51839437757,5533.68204105967,5710.79107264942,5968.05550478901,6428.20230300818,6691.04851151445,7692.77119242585,7995.77913940313,7883.78122774931,8250.10666677903,..
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14804.5744507911,15994.1466501837,17267.5118919538,17563.6122454385,15075.2726347911,14535.8020210633,14315.9296431061,15282.9995232298,16675.3179361558,15163.5703327282,20111.3756952109,22552.0886560523,23651.5994852756,25088.9993757134,..
Azerbaijan,AZE,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.565,71.08,71.485,71.93,72.349,72.568,72.694,73.016,73.29,70.312,70.999,74.125,74.429,..,..
Azerbaijan,AZE,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,380.800192500815,500.580033995356,551.831589543247,623.727441499692,647.518914149671,635.626475256824,576.529979498239,580.508543069207,691.39652893836,879.073654044431,933.373898853166,758.780288381596,992.839281257224,..,..
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,30073.6769305961,31035.5500568874,30294.4768305201,31726.1740873862,32137.5784729905,32285.2760366069,34282.1710357791,35227.7619063243,36116.0002025353,27204.625909518,31064.6822166194,36791.4010460964,39090.1214737976,41197.9342548477,..
"Bahamas, The",BHS,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.571,73.707,73.93,74.029,73.805,74.042,74.031,74.062,71.408,72.994,70.752,74.491,74.552,..,..
"Bahamas, The",BHS,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,1605.05943425689,1650.74550172402,1708.93635769309,1763.25373337647,1661.91509973762,1804.89526846391,2225.69398687005,2024.30778624769,2019.86046681179,1933.99360636218,1990.87757316787,2445.15823309585,2315.62457132367,..,..
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,52677.4511190668,56712.5692656153,56310.3117458189,54299.0564613228,48034.2468880503,47428.9018907649,50184.5005767301,51993.1307818652,56599.5214364411,53436.0316999712,54954.6757895532,61677.6538492695,64171.0857359052,66941.2430367989,..
Bahrain,BHR,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.141,79.622,79.998,80.214,80.338,80.407,80.407,80.412,80.471,78.683,78.083,80.992,81.284,..,..
Bahrain,BHR,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,1939.61204097218,2226.92987017693,2326.64237709059,2303.52026446675,2283.39810616744,2183.97213531674,2186.97742649899,2057.76177205495,2139.14099265495,2417.16070958555,2382.4137686434,2370.30442931679,2555.25121691665,..,..
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3051.26983271811,3434.27815090447,3691.10431102117,3972.50647733491,4212.23578089428,4579.13228682862,4882.60692615639,5490.15881865179,6047.12401504125,6640.58437331062,7441.06913961254,8450.54902533941,9147.7775066555,9646.76984383255,..
Bangladesh,BGD,Gini index,SI.POV.GINI,..,..,..,..,..,32.4,..,..,..,..,..,30.9,..,..,..
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.499,68.989,69.487,70.016,70.543,71.075,71.606,72.122,72.625,71.421,71.103,74.265,74.672,..,..
Bangladesh,BGD,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,72.1375658548254,80.835618242804,84.7383200866159,90.5394255218213,95.7094284834595,109.412957923441,115.581150215712,127.164276133592,128.629979474583,144.934011636458,168.673210869,187.217600628902,198.520096538506,..,..
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,20316.2925356846,19605.0169248071,19032.4654071373,18594.9001828335,19185.5186407924,19175.570190422,18436.8050803186,19777.0593234662,19971.1185698717,16555.3622145235,17682.7314537483,22193.2487125789,23660.4047512929,24822.5343309908,..
Barbados,BRB,Gini index,SI.POV.GINI,..,..,..,..,..,34.1,..,..,..,..,..,..,..,..,..
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.599,75.737,75.816,75.926,76.055,76.168,76.237,76.378,76.495,76.647,76.58,75.676,76.178,..,..
Barbados,BRB,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,1152.38422475568,1220.15844272525,1162.04561921976,1082.43301231765,1084.60115958253,1115.96201394759,1074.33208757318,1081.62166014438,1064.64457971157,1064.59134440989,1167.26495008583,1162.37972891709,1153.10213713461,..,..
