country_code,country,region,year,sex,hale,hale_low,hale_high,le,le_low,le_high,hale_gap,hale_ratio
YEM,Yemen,Eastern Mediterranean,2021,Both sexes,56.46,55.73,57.52,65.76,65.11,66.62,9.300000000000004,0.8585766423357664
GUY,Guyana,Americas,2021,Both sexes,56.82,55.76,57.92,66.08,65.16,67.36,9.259999999999998,0.8598668280871671
PAK,Pakistan,Eastern Mediterranean,2021,Both sexes,56.89,55.86,57.95,65.99,65.04,67.07,9.099999999999994,0.862100318230035
DJI,Djibouti,Eastern Mediterranean,2021,Both sexes,56.99,56.08,58.02,64.87,64.0,66.16,7.880000000000003,0.8785262833359025
UGA,Uganda,Africa,2021,Both sexes,57.22,56.48,58.13,65.99,65.16,66.94,8.769999999999996,0.867101075920594
SLB,Solomon Islands,Western Pacific,2021,Both sexes,57.37,56.29,58.37,64.79,63.79,65.92,7.420000000000009,0.8854761537274269
BOL,Bolivia (Plurinational State of),Americas,2021,Both sexes,57.43,56.67,58.23,65.41,64.89,66.18,7.979999999999997,0.8780003057636447
PNG,Papua New Guinea,Western Pacific,2021,Both sexes,57.48,56.45,58.53,65.49,64.56,66.53,8.009999999999998,0.8776912505726066
FJI,Fiji,Western Pacific,2021,Both sexes,57.69,56.86,58.86,65.5,64.67,66.62,7.810000000000002,0.8807633587786259
GHA,Ghana,Africa,2021,Both sexes,57.88,56.91,58.83,66.1,65.29,66.9,8.219999999999992,0.8756429652042361
FSM,Micronesia (Federated States of),Western Pacific,2021,Both sexes,57.93,57.07,58.82,65.71,64.84,66.59,7.779999999999994,0.8816009739765638
