country,country_code,year,health_expenditure_ppp,gdp_per_capita_ppp,gini,life_expectancy,log_gdp_per_capita,income_group
Ethiopia,ETH,2024,,3287.53492158893,,,8.097893298966158,Low income
Euro area,EMU,2024,7117.01196126619,66097.0207220176,,,11.09887895253984,High income
Europe & Central Asia,ECS,2024,,52463.146580384,,,10.867866232186037,High income
Europe & Central Asia (IDA & IBRD countries),TEC,2024,,38139.1215730346,,,10.54899584724352,Upper-middle income
Europe & Central Asia (excluding high income),ECA,2024,,29333.2558966594,,,10.286477164902138,Upper-middle income
European Union,EUU,2024,6701.90681499504,63585.4051981695,,,11.060139244977902,High income
Faroe Islands,FRO,2024,,81908.7781785018,,,11.313361445764304,High income
Fiji,FJI,2024,,15450.2993265388,,,9.645383656024226,Upper-middle income
Finland,FIN,2024,,65378.3841859721,,,11.08794696577843,High income
Fragile and conflict affected situations,FCS,2024,,6394.56591330945,,,8.763203832633128,Lower-middle income
France,FRA,2024,6868.20609701239,62556.91810454,,,11.043832110970882,High income
Gabon,GAB,2024,,21510.1725307344,,,9.976281243184252,Upper-middle income
"Gambia, The",GMB,2024,,3475.61245701341,,,8.153525989091845,Low income
Georgia,GEO,2024,,28285.0732802982,33.9,,10.250089498556937,Upper-middle income
Germany,DEU,2024,8825.61480783196,73551.9347696836,,,11.205747031185757,High income
Ghana,GHA,2024,,8019.99702389611,,,8.989693329775218,Lower-middle income
Greece,GRC,2024,,44327.2097808276,,,10.69935398375112,Upper-middle income
Grenada,GRD,2024,,20177.8094927386,,,9.912338739588568,Upper-middle income
Guatemala,GTM,2024,,14368.6605681815,,,9.572804764442118,Upper-middle income
Guinea,GIN,2024,,4565.3007888456,,,8.426239681076497,Lower-middle income
Guinea-Bissau,GNB,2024,,3119.37157047437,,,8.045386840796098,Low income
Guyana,GUY,2024,,80155.03939277,,,11.29171803058108,High income
Haiti,HTI,2024,,3193.67136419915,,,8.06892643187172,Low income
Heavily indebted poor countries (HIPC),HPC,2024,,3611.76258813976,,,8.191951183733178,Low income
High income,HIC,2024,,67043.7863052171,,,11.113101211860902,High income
Honduras,HND,2024,,7486.01869616445,45.7,,8.920792385945152,Lower-middle income
"Hong Kong SAR, China",HKG,2024,,75195.9865970615,,,11.22785313879379,High income
Hungary,HUN,2024,,48552.4708092529,,,10.790400364479156,High income
IBRD only,IBD,2024,,21125.5295962749,,,9.958237521557285,Upper-middle income
IDA & IBRD total,IBT,2024,,16789.1368628921,,,9.72848734094147,Upper-middle income
IDA blend,IDB,2024,,7631.62285195617,,,8.940055795234668,Lower-middle income
IDA only,IDX,2024,,4697.56142203104,,,8.454798806674418,Lower-middle income
IDA total,IDA,2024,,5710.14462861054,,,8.649999631332879,Lower-middle income
Iceland,ISL,2024,6926.88414378239,84256.8454573112,,,11.341625096632693,High income
India,IND,2024,,11159.9856476091,,,9.320089949877943,Lower-middle income
Indonesia,IDN,2024,,16448.2755179559,34.9,,9.707975918963085,Upper-middle income
"Iran, Islamic Rep.",IRN,2024,,19873.8860853805,,,9.897161891933305,Upper-middle income
Iraq,IRQ,2024,,14464.3186928173,,,9.579440115908119,Upper-middle income
Ireland,IRL,2024,8772.47310002337,133437.470117019,,,11.801388258457656,High income
Israel,ISR,2024,,57235.7763244136,,,10.954934442066191,High income
Italy,ITA,2024,4992.80267729202,62014.2675153689,,,11.03511975876903,High income
Jamaica,JAM,2024,,12890.2660051472,,,9.464227732271675,Lower-middle income
Japan,JPN,2024,,52039.1716551611,,,10.85975201503552,High income
Jordan,JOR,2024,,10821.4909765317,,,9.289289341107883,Lower-middle income
Kazakhstan,KAZ,2024,,40890.9317694408,,,10.61866360031943,Upper-middle income
Kenya,KEN,2024,,6644.13093243895,,,8.801489177408206,Lower-middle income
Kiribati,KIR,2024,,3702.32594703115,,,8.216716535457266,Low income
